food_id,food_name,scientific_name,food_category,source,food_type,serving_size_g,energy_kcal,protein_g,fat_g,carbs_g,fiber_g,water_g,sodium_mg,potassium_mg,phosphorus_mg,calcium_mg,magnesium_mg,iron_mg,zinc_mg,vitamin_c_mg,vitamin_b6_mg,folate_ug,vitamin_e_mg,saturated_fat_g,mufa_g,pufa_g,cholesterol_mg,starch_g,sugars_free_g,oxalate_mg,phytic_acid_mg,total_carbs_g,na_k_ratio,protein_quality,ingredients,brand,nutriscore_grade,unified_id,data_completeness
IFCT_A001,"Amaranth seed, black",Amaranthus cruentus,Cereals_Millets,IFCT_2017,Raw_Ingredient,100,1490.0,14.59,5.74,59.98,7.02,9.89,2.7,433.0,374.0,181.0,325.0,9.33,2.66,0.0,0.5,27.44,0.17,1280.0,1033.0,2279.0,0.0,55.83,0.88,226.0,393.0,67.0,0.006235565819861432,Available,,,,FOOD_000001,0.9285714285714286
IFCT_A002,"Amaranth seed, pale brown",Amaranthus cruentus,Cereals_Millets,IFCT_2017,Raw_Ingredient,100,1489.0,13.27,5.56,61.46,7.47,9.2,2.81,413.0,412.0,162.0,270.0,8.02,2.52,0.0,0.33,24.65,0.15,1140.0,1043.0,2266.0,0.0,59.33,0.8,209.0,341.0,68.93,0.006803874092009685,Available,,,,FOOD_000002,0.9285714285714286
IFCT_A003,Bajra,Pennisetum typhoideum,Cereals_Millets,IFCT_2017,Raw_Ingredient,100,1456.0,10.96,5.43,61.78,11.49,8.97,4.11,365.0,289.0,27.35,124.0,6.42,2.76,0.0,0.27,36.11,0.24,875.0,1047.0,1984.0,0.0,55.21,0.81,53.13,485.0,73.27,0.01126027397260274,Available,,,,FOOD_000003,0.9285714285714286
IFCT_A004,Barley,Hordeum vulgare,Cereals_Millets,IFCT_2017,Raw_Ingredient,100,1321.0,10.94,1.3,61.29,15.64,9.77,7.56,268.0,178.0,28.64,48.97,1.56,1.5,0.0,0.31,31.58,0.01,232.0,90.79,575.0,0.0,72.67,0.06,10.98,386.0,76.93,0.028208955223880595,Available,,,,FOOD_000004,0.9285714285714286
IFCT_A005,Jowar,Sorghum vulgare,Cereals_Millets,IFCT_2017,Raw_Ingredient,100,1398.0,9.97,1.73,67.68,10.22,9.01,5.42,328.0,274.0,27.6,133.0,3.95,1.96,0.0,0.28,39.42,0.06,163.0,314.0,524.0,0.0,59.7,1.27,28.38,549.0,77.9,0.01652439024390244,Available,,,,FOOD_000005,0.9285714285714286
IFCT_A006,"Maize, dry",Zea mays,Cereals_Millets,IFCT_2017,Raw_Ingredient,100,1398.0,8.8,3.77,64.77,12.24,9.26,4.44,291.0,279.0,8.91,145.0,2.49,2.27,0.0,0.34,25.81,0.36,413.0,706.0,1606.0,0.0,59.35,1.66,15.26,646.0,77.00999999999999,0.015257731958762889,Available,,,,FOOD_000006,0.9285714285714286
IFCT_A007,"Maize, tender, local",Zea mays,Cereals_Millets,IFCT_2017,Raw_Ingredient,100,502.0,3.57,1.4,22.69,3.67,68.29,2.24,167.0,163.0,6.35,47.62,0.71,0.97,4.26,0.45,62.96,0.09,109.0,147.0,347.0,0.0,15.88,1.47,5.2,148.0,26.36,0.013413173652694612,Available,,,,FOOD_000007,0.9642857142857143
IFCT_A008,"Maize, tender, sweet",Zea mays,Cereals_Millets,IFCT_2017,Raw_Ingredient,100,405.0,4.16,1.35,16.42,3.3,74.4,2.23,297.0,121.0,6.37,36.51,0.54,0.77,5.72,0.38,59.71,0.1,123.0,176.0,300.0,0.0,7.45,4.67,1.67,221.0,19.720000000000002,0.0075084175084175085,Available,,,,FOOD_000008,0.9642857142857143
IFCT_A009,Quinoa,Chenopodium quinoa,Cereals_Millets,IFCT_2017,Raw_Ingredient,100,1374.0,13.11,5.5,53.65,14.66,10.43,4.5,474.0,212.0,198.0,119.0,7.51,3.31,0.0,0.21,173.0,2.08,570.0,1424.0,2406.0,0.0,48.41,1.41,82.94,120.0,68.31,0.00949367088607595,Available,,,,FOOD_000009,0.9285714285714286
IFCT_A010,Ragi,Eleusine coracana,Cereals_Millets,IFCT_2017,Raw_Ingredient,100,1342.0,7.16,1.92,66.82,11.18,10.89,4.75,443.0,210.0,364.0,146.0,4.62,2.53,0.0,0.05,34.66,0.16,317.0,585.0,431.0,0.0,62.13,0.34,39.58,306.0,78.0,0.01072234762979684,Available,,,,FOOD_000010,0.9285714285714286
IFCT_A011,Rice flakes,Oryza sativa,Cereals_Millets,IFCT_2017,Raw_Ingredient,100,1480.0,7.44,1.14,76.75,3.46,10.36,2.58,148.0,195.0,9.19,77.92,4.46,1.49,0.0,0.02,8.46,0.05,284.0,425.0,577.0,0.0,68.06,0.34,10.97,474.0,80.21,0.01743243243243243,Available,,,,FOOD_000011,0.9285714285714286
IFCT_A012,Rice puffed,Oryza sativa,Cereals_Millets,IFCT_2017,Raw_Ingredient,100,1514.0,7.47,1.62,77.68,2.56,9.4,3.69,140.0,152.0,15.09,64.59,4.55,1.45,0.0,0.07,0.0,0.04,46.84,39.77,44.8,0.0,69.25,0.64,6.27,115.0,80.24000000000001,0.026357142857142857,Available,,,,FOOD_000012,0.8928571428571429
